Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
1146,-29.03,19.15,30,Khâi-Ma Local Municipality,Khâi-Ma Ward 3,"unnamed road, Khâi-Ma Ward 3, Khâi-Ma Local Municipality, South Africa",59,548.6183483072813,Cape Town,0.18194443527582504,Red,Red,3.2328846054208134,Risky,"{""loadshedding"": 4.1, ""interop"": 0.34855756776016467, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
5129,-30.42,26.84,30,Mohokare Local Municipality,Mohokare Ward 2,"Albertijn Street, Mohokare Ward 2, Mohokare Local Municipality, 9958, South Africa",55,160.16957955410635,Bloemfontein,0.6204644839098121,Amber,Amber,4.47552275378114,Risky,"{""loadshedding"": 4.5, ""interop"": 1.006534422264249, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
728,-34.05,19.61,30,Theewaterskloof Local Municipality,Heuwelkroon,"Cross Market Street, Heuwelkroon, Theewaterskloof Local Municipality, 7233, South Africa",62,110.21873976297086,Cape Town,0.8991290515709833,Red,Red,3.2369930608636235,Risky,"{""loadshedding"": 3.8, ""interop"": 1.337413260795298, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
607,-27.95,27.56,30,Steynsrus,N/A,"Steynsrus, South Africa",56,182.12082939169625,Bloemfontein,0.5460875222779794,Amber,Amber,4.442685002649981,Risky,"{""loadshedding"": 4.4, ""interop"": 0.9085625331247582, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
250,-30.95,30.28,30,Hibiscus Coast Local Municipality,Hibiscus Coast Ward 1,"unnamed road, Hibiscus Coast Ward 1, Hibiscus Coast Local Municipality, South Africa",63,140.6619255369965,Durban,0.7059059773536959,Red,Red,3.19409418867232,Risky,"{""loadshedding"": 3.7, ""interop"": 1.1136773584040094, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1865,-28.28,31.44,30,Ulundi,N/A,"1513 Mlilowothathe Street, Ulundi, South Africa",56,180.1866471640853,Durban,0.5519170510917316,Amber,Amber,4.443312788737152,Risky,"{""loadshedding"": 4.4, ""interop"": 0.9164098592143893, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
3221,-24.84,29.81,30,Makhuduthamaga Local Municipality,Makhuduthamaga Ward 8,"unnamed road, Makhuduthamaga Ward 8, Makhuduthamaga Local Municipality, 1085, South Africa",55,188.26684505954552,Pretoria,0.528354556597268,Amber,Amber,4.465760672210702,Risky,"{""loadshedding"": 4.5, ""interop"": 0.884508402633766, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
8664,-33.5,19.83,30,Breede Valley Nu,N/A,"Breede Valley Nu, South Africa",60,138.35506538816557,Cape Town,0.7175914253382589,Red,Red,3.270232960792211,Risky,"{""loadshedding"": 4.0, ""interop"": 1.127912009902641, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
783,-33.83,18.83,30,Stellenbosch Local Municipality,Stellenbosch Ward 19,"unnamed road, Stellenbosch Ward 19, Stellenbosch Local Municipality, 7607, South Africa",65,38.9291479009725,Cape Town,2.5044361138887323,Red,Red,3.2641883897151516,Risky,"{""loadshedding"": 3.5, ""interop"": 2.6148548714393955, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
353,-29.35,30.52,30,uMshwathi Local Municipality,uMshwathi Ward 1,"P550, uMshwathi Ward 1, uMshwathi Local Municipality, 3230, South Africa",64,74.51928224732976,Durban,1.3241651274239414,Red,Red,3.220683523445077,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 1.7585440430634594, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
