Site Identifier,Latitude,Longitude,Demand_Index,city,suburb,address,Site_Loadshedding_Risk,Distance_to_Metro_KM,Closest_Metro,Metro_Proximity_Score,Base_Risk_Category,Adjusted_Risk_Category,Total_Weighted_Score,Final_Classification,Factor_Scores
1389,-25.54,31.33,30,Nkomazi Nu,N/A,"Nkomazi Nu, South Africa",62,311.67247726497726,Pretoria,0.31982348070647115,Red,Red,3.176290261975402,Risky,"{""loadshedding"": 3.8, ""interop"": 0.5786282746925328, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2981,-25.52,31.35,30,Matsulu,N/A,"242 Misty Street, Matsulu, South Africa",55,313.8694999583758,Pretoria,0.31759189128581683,Amber,Amber,4.441007971880411,Risky,"{""loadshedding"": 4.5, ""interop"": 0.5750996485051364, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
5950,-22.91,30.23,30,Mandala,N/A,"Mandala, South Africa",53,375.0411363611793,Pretoria,0.26592835285965144,Amber,Amber,4.484335450797653,Risky,"{""loadshedding"": 4.7, ""interop"": 0.4916931349706599, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
4114,-26.73,27.59,30,Emfuleni Local Municipality,Vaal Oewer,"Vaaloewer Drive, Vaal Oewer, Emfuleni Local Municipality, 1911, South Africa",62,74.10564183524428,Johannesburg,1.3314578979215077,Red,Red,3.271206130020686,Risky,"{""loadshedding"": 3.8, ""interop"": 1.7650766252585761, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1115,-29.35,21.15,30,Kai !Garib Local Municipality,Kai !Garib Ward 9,"Hope Street, Kai !Garib Ward 9, Kai !Garib Local Municipality, 8900, South Africa",56,492.51536343027857,Bloemfontein,0.20262793706143153,Amber,Amber,4.400778510137325,Risky,"{""loadshedding"": 4.4, ""interop"": 0.3847313767165617, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
53,-33.95,22.42,30,George,N/A,"34 Oakland Village, George, South Africa",49,294.65610341074836,Port Elizabeth,0.338230798709649,Amber,Amber,4.593600695023535,Risky,"{""loadshedding"": 5.1, ""interop"": 0.6075086877941873, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
155,-31.91,26.92,30,Queenstown,N/A,"4 Watt Road, Queenstown, South Africa",61,258.59246461532604,Port Elizabeth,0.38521919404780797,Red,Red,3.209357401453514,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 0.6794675181689245, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
25131,-31.92,26.86,30,Queenstown,N/A,"92 Oleander Drive, Queenstown, South Africa",52,255.01002799947292,Port Elizabeth,0.39060969908649784,Amber,Amber,4.525005285201306,Risky,"{""loadshedding"": 4.8, ""interop"": 0.6875660650163241, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
725,-33.3,19.04,30,Gouda,N/A,"521 Main Street, Gouda, South Africa",65,89.89491032992913,Cape Town,1.1001716117769558,Red,Red,3.1787783934439027,Risky,"{""loadshedding"": 3.5, ""interop"": 1.5472299180487825, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2225,-34.2,18.37,30,N/A,Scarborough,"Beach Road, Scarborough, Western Cape, South Africa",61,30.993009833189898,Cape Town,3.125682782626438,Red,Red,3.391412581521334,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 2.955157269016681, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
9949,-32.27,28.51,30,Mbhashe Local Municipality,Willowvale,"unnamed road, Willowvale, Mbhashe Local Municipality, South Africa",62,328.73299097961734,Port Elizabeth,0.3032756889230461,Red,Red,3.174185558711936,Risky,"{""loadshedding"": 3.8, ""interop"": 0.5523194838992039, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
5980,-30.53,27.37,30,Tienbank,N/A,"Street, Tienbank, South Africa",50,195.44589950274815,Bloemfontein,0.5090460032666707,Amber,Amber,4.588639805902733,Risky,"{""loadshedding"": 5.0, ""interop"": 0.857997573784155, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
110,-34.01,23.42,30,Keurboomstrand,N/A,"Keurboomstrand, South Africa",62,202.42904267996178,Port Elizabeth,0.4915718949595697,Red,Red,3.1966969123248505,Risky,"{""loadshedding"": 3.8, ""interop"": 0.8337114040606308, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2238,-34.41,19.28,30,Hermanus,N/A,"117 11th Street, Hermanus, South Africa",51,95.4476643642391,Cape Town,1.0368317435074978,Amber,Amber,4.613669992265224,Risky,"{""loadshedding"": 4.9, ""interop"": 1.4833749033152892, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1667,-27.32,26.0,30,Maquassi Hills Local Municipality,Lebaleng,"Potgieter Street, Lebaleng, Maquassi Hills Local Municipality, South Africa",56,197.42226797140714,Bloemfontein,0.5039756929620929,Amber,Amber,4.438078379974689,Risky,"{""loadshedding"": 4.4, ""interop"": 0.8509797496836125, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1380,-26.16,29.71,30,Hendrina,N/A,"Beukes Street, Hendrina, South Africa",62,154.96954229721163,Pretoria,0.6411508203918591,Red,Red,3.2126387575999376,Risky,"{""loadshedding"": 3.8, ""interop"": 1.0329844699992232, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
423,-29.67,31.12,30,Umdloti / eMdloti,Umdloti / eMdloti,"North Beach Road, Umdloti / eMdloti, 4350, South Africa",68,23.024163487621376,Durban,4.162475836110827,Red,Red,3.2538095022313707,Risky,"{""loadshedding"": 3.2, ""interop"": 3.4226187778921373, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2701,-31.04,23.13,30,Ubuntu Nu,N/A,"Ubuntu Nu, South Africa",64,368.02563512743995,Bloemfontein,0.2709838842644789,Red,Red,3.1200002978070804,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 0.5000037225885132, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1770,-25.49,29.03,30,Thembisile Hani Local Municipality,Thembisile Hani Ward 8,"R544, Thembisile Hani Ward 8, Thembisile Hani Local Municipality, South Africa",57,85.24877494134314,Pretoria,1.1594367580062315,Amber,Amber,4.473420525490507,Risky,"{""loadshedding"": 4.3, ""interop"": 1.6052565686313423, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
4177,-26.36,28.22,30,Vosloorus,N/A,"Street, Vosloorus, South Africa",65,24.433153304803408,Johannesburg,3.93187580012399,Red,Red,3.321186671391396,Risky,"{""loadshedding"": 3.5, ""interop"": 3.327333392392446, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
2197,-31.78,18.63,30,Klawer,N/A,"Gordon Street, Klawer, South Africa",55,239.27605603510554,Cape Town,0.4161879533489159,Amber,Amber,4.453045691290392,Risky,"{""loadshedding"": 4.5, ""interop"": 0.725571141129904, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1808,-30.2,30.75,30,Craigieburn,N/A,"12 300129 Street, Craigieburn, South Africa",57,46.0968333273219,Durban,2.1232850052784293,Amber,Amber,4.534980829797202,Risky,"{""loadshedding"": 4.3, ""interop"": 2.3747603724650137, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1202,-28.75,32.03,30,Richards Bay,uMhlathuze Ward 2,"Bronze Bar Street, uMhlathuze Ward 2, Richards Bay, 3900, South Africa",68,157.33694525406378,Durban,0.6315645400354436,Red,Red,3.061661513833765,Risky,"{""loadshedding"": 3.2, ""interop"": 1.020768922922066, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
21,-28.44,21.29,30,Upington,Keidebees,"Patrys Road, Keidebees, Upington, 8815, South Africa",58,485.48613998180144,Bloemfontein,0.20555570196458386,Amber,Amber,4.351184118208359,Risky,"{""loadshedding"": 4.2, ""interop"": 0.38980147760447637, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
12501,-28.83,24.27,30,Sol Plaatjie Nu,N/A,"Sol Plaatjie Nu, South Africa",64,191.47365255769677,Bloemfontein,0.519551630423928,Red,Red,3.149797095161788,Risky,"{""loadshedding"": 3.5999999999999996, ""interop"": 0.8724636895223505, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1350,-24.59,30.16,30,Maglopi,N/A,"Maglopi, South Africa",59,233.08260429211975,Pretoria,0.4271996216993833,Red,Red,3.2643377403615386,Risky,"{""loadshedding"": 4.1, ""interop"": 0.7417217545192378, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
57561,-33.42,25.24,30,Sundays River Valley Local Municipality,Sundays River Valley Ward 7,"R75, Sundays River Valley Ward 7, Sundays River Valley Local Municipality, South Africa",68,69.4831161680329,Port Elizabeth,1.4187794955262532,Red,Red,3.127339724511595,Risky,"{""loadshedding"": 3.2, ""interop"": 1.8417465563949382, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
3290,-24.76,29.87,30,Jane Furse,N/A,"Jane Furse, South Africa",59,198.2191544050072,Pretoria,0.501959765358218,Red,Red,3.2728546340567126,Risky,"{""loadshedding"": 4.1, ""interop"": 0.8481829257089101, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1802,-29.47,28.99,30,No result found,No result found,No result found,52,201.01431978455992,Durban,0.495014413367557,Amber,Amber,4.537081469721638,Risky,"{""loadshedding"": 4.8, ""interop"": 0.8385183715204776, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
3107,-33.46,18.71,30,Wesbank,N/A,"Darling Way, Wesbank, South Africa",54,58.068511673849656,Cape Town,1.6929493763471817,Amber,Amber,4.585251089428851,Risky,"{""loadshedding"": 4.6, ""interop"": 2.0656386178606416, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
5092,-29.02,24.63,30,Sol Plaatje Local Municipality,Sol Plaatje Ward 26,"N12, Sol Plaatje Ward 26, Sol Plaatje Local Municipality, South Africa",61,154.36346543336924,Bloemfontein,0.6436519661881964,Red,Red,3.2378927902666383,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 1.0361598783329853, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
108,-32.71,27.55,30,Emthonjini,N/A,"Null, Emthonjini, South Africa",55,227.3372594260778,Port Elizabeth,0.437948674041847,Amber,Amber,4.455589396072904,Risky,"{""loadshedding"": 4.5, ""interop"": 0.7573674509112942, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
45565,-29.83,30.96,85,Durban,eThekwini Ward 24,"Lincoln Terrace, eThekwini Ward 24, Durban, 4001, South Africa",21,6.761063941183624,Durban,12.884831352742237,Green,Green,8.108851021481248,Ready,"{""loadshedding"": 7.9, ""interop"": 5.485637768515615, ""security"": 8.5, ""demand"": 8.5, ""permitting"": 8.0, ""physical"": 8.5, ""opCost"": 9.0}"
3989,-27.78,30.06,30,Madadeni,N/A,"1724 Mf57 Street, Madadeni, South Africa",63,249.40758633052354,Durban,0.3993489233509315,Red,Red,3.161050333392293,Risky,"{""loadshedding"": 3.7, ""interop"": 0.700629167403662, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1627,-26.84,30.53,30,Iswepe,N/A,"1169 Unknown Street, Iswepe, South Africa",52,256.92680774842194,Johannesburg,0.3877068881399042,Amber,Amber,4.524656709625154,Risky,"{""loadshedding"": 4.8, ""interop"": 0.6832088703144252, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
768,-33.98,18.77,30,Lynedoch,N/A,"Lynedoch, South Africa",59,32.487496173129415,Cape Town,2.9861892177009235,Red,Red,3.435674910105204,Risky,"{""loadshedding"": 4.1, ""interop"": 2.883436376315051, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1673,-23.59,28.4,30,Mogalakwena Local Municipality,Marken,"D2643, Marken, Mogalakwena Local Municipality, South Africa",54,240.56657544052769,Pretoria,0.4139645553928028,Amber,Amber,4.477783591165507,Risky,"{""loadshedding"": 4.6, ""interop"": 0.7222948895688354, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1619,-27.01,26.01,30,Maquassi Hills,N/A,"Maquassi Hills, South Africa",51,221.4802679261273,Johannesburg,0.4494780635251849,Amber,Amber,4.556921559236401,Risky,"{""loadshedding"": 4.9, ""interop"": 0.7740194904550125, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
6176,-27.35,31.58,30,Ncotshane B,N/A,"611 Unknown Street, Ncotshane B, South Africa",52,284.22587088024096,Durban,0.3505993327021427,Amber,Amber,4.520135374549969,Risky,"{""loadshedding"": 4.8, ""interop"": 0.6266921818746047, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1858,-29.67,30.34,30,Edendale,N/A,"Edendale, South Africa",54,69.07489823186718,Durban,1.4270445269733423,Amber,Amber,4.56790875700735,Risky,"{""loadshedding"": 4.6, ""interop"": 1.8488594625918795, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
373,-29.39,30.68,30,uMshwathi Local Municipality,uMshwathi Ward 7,"R614, uMshwathi Ward 7, uMshwathi Local Municipality, South Africa",60,61.70666203170028,Durban,1.5947268880210321,Red,Red,3.3390530289510902,Risky,"{""loadshedding"": 4.0, ""interop"": 1.9881628618886247, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
11317,-32.9,27.29,30,Gwaba,KwaNonkcampa,"unnamed road, KwaNonkcampa, Gwaba, South Africa",59,195.18217769874605,Port Elizabeth,0.5097302985063111,Red,Red,3.2737154321185464,Risky,"{""loadshedding"": 4.1, ""interop"": 0.8589429014818306, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1589,-23.69,30.14,30,Greater Letaba Local Municipality,Greater Letaba Ward 29,"Mephisto Drive, Greater Letaba Ward 29, Greater Letaba Local Municipality, South Africa",63,299.33457340782013,Pretoria,0.33296199923080916,Red,Red,3.15294263308272,Risky,"{""loadshedding"": 3.7, ""interop"": 0.5992829135339949, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1644,-25.65,27.81,30,Brits,N/A,"Street, Brits, South Africa",57,43.399638694107615,Pretoria,2.252270580149366,Amber,Amber,4.541731426235465,Risky,"{""loadshedding"": 4.3, ""interop"": 2.4591428279433116, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
148,-34.01,22.45,30,George,George Ward 14,"Beach Road, George Ward 14, George, 6534, South Africa",57,291.8335201598483,Port Elizabeth,0.341490960274675,Amber,Amber,4.394006586012814,Risky,"{""loadshedding"": 4.3, ""interop"": 0.6125823251601727, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1879,-27.24,28.85,30,Cornelia,N/A,"Null, Cornelia, South Africa",54,140.0839385801086,Johannesburg,0.7087979043285583,Amber,Amber,4.509376737918704,Risky,"{""loadshedding"": 4.6, ""interop"": 1.1172092239838052, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
2178,-34.06,18.79,30,Somerset West,Firgrove,"N2, Firgrove, Somerset West, 7110, South Africa",58,36.92714115367181,Cape Town,2.6366342666014195,Amber,Amber,4.535365302481288,Risky,"{""loadshedding"": 4.2, ""interop"": 2.6920662810160985, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
228,-28.01,30.38,30,Endumeni Nu,N/A,"Street, Endumeni Nu, South Africa",66,214.8431827392221,Durban,0.46329932097423815,Red,Red,3.0935046408235465,Risky,"{""loadshedding"": 3.4000000000000004, ""interop"": 0.7938080102943266, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
16782,-33.94,22.04,30,George,Mossel Bay Ward 14,"unnamed road, Mossel Bay Ward 14, George, South Africa",53,329.725043929913,Port Elizabeth,0.3023659738970113,Amber,Amber,4.489069078950763,Risky,"{""loadshedding"": 4.7, ""interop"": 0.5508634868845339, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1651,-24.91,27.73,30,Thabazimbi Local Municipality,Thabazimbi Ward 4,"unnamed road, Thabazimbi Ward 4, Thabazimbi Local Municipality, South Africa",66,105.82476059186322,Pretoria,0.9361125589792985,Red,Red,3.1402103389798075,Risky,"{""loadshedding"": 3.4000000000000004, ""interop"": 1.3776292372475993, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1868,-30.64,30.53,30,Phumula,N/A,"174 6th Avenue, Phumula, South Africa",61,98.88913924742562,Durban,1.0011098379003927,Red,Red,3.2707184725236145,Risky,"{""loadshedding"": 3.9000000000000004, ""interop"": 1.4464809065451782, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1074,-28.8,23.72,30,Campbell,N/A,"35 Klieniek Street, Campbell, South Africa",65,244.96448459887145,Bloemfontein,0.4065627611363646,Red,Red,3.111908068343233,Risky,"{""loadshedding"": 3.5, ""interop"": 0.7113508542904095, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
416,-29.73,30.38,30,Richmond Local Municipality,Richmond Ward 3,"unnamed road, Richmond Ward 3, Richmond Local Municipality, South Africa",63,63.563319886327974,Durban,1.5488670684231056,Red,Red,3.2610783715897416,Risky,"{""loadshedding"": 3.7, ""interop"": 1.950979644871767, ""security"": 3.0, ""demand"": 3.0, ""permitting"": 4.0, ""physical"": 4.0, ""opCost"": 3.0}"
1900,-27.65,28.13,30,Petrus Steyn,N/A,"306 Eeufees Street, Petrus Steyn, South Africa",50,160.98563996943415,Johannesburg,0.6173386728531584,Amber,Amber,4.6002006675264875,Risky,"{""loadshedding"": 5.0, ""interop"": 1.0025083440810951, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
1493,-25.01,28.0,30,Moretele Local Municipality,Mnukubyane,"unnamed road, Mnukubyane, Moretele Local Municipality, South Africa",50,85.22314533234628,Pretoria,1.1597813976114066,Amber,Amber,4.648447146211916,Risky,"{""loadshedding"": 5.0, ""interop"": 1.6055893276489526, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
107,-33.95,24.29,30,Kou-Kamma Local Municipality,Kagiso Heights,"Baken Street, Kagiso Heights, Kou-Kamma Local Municipality, 6400, South Africa",55,122.19581000801385,Port Elizabeth,0.8117159178830435,Amber,Amber,4.494132672533448,Risky,"{""loadshedding"": 4.5, ""interop"": 1.2391584066680976, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
2239,-34.07,19.12,30,Theewaterskloof Nu,N/A,"Theewaterskloof Nu, South Africa",54,66.15092084555151,Cape Town,1.4891828546923733,Amber,Amber,4.5721258240350515,Risky,"{""loadshedding"": 4.6, ""interop"": 1.9015728004381451, ""security"": 5.5, ""demand"": 3.0, ""permitting"": 6.0, ""physical"": 6.0, ""opCost"": 5.5}"
