Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
733,Openserve Property,-34.59,19.76,"Sand Street, Cape Agulhas Ward 1, Cape Agulhas Local Municipality, South Africa",Cape Agulhas Local Municipality,Cape Agulhas Ward 1,N/A
5804,Openserve Property,-25,27.01,"Magong, South Africa",Magong,N/A,
7885,Openserve Property,-25.6,28,"6074 Makoto Street, Ga-rankuwa, South Africa",Ga-rankuwa,N/A,
999,Openserve Property,-26.1,28.15,"3 Lyndale Close, Johannesburg, South Africa",Johannesburg,N/A,
1855,Openserve Property,-29.75,30.13,"unnamed road, Richmond Ward 3, Richmond Local Municipality, South Africa",Richmond Local Municipality,Richmond Ward 3,N/A
2196,Openserve Property,-33.8,18.87,"R44 Road, Stellenbosch Nu, South Africa",Stellenbosch Nu,N/A,
46,Openserve Property,-32.28,24.56,"Narsing Street, Asherville, Camdeboo Local Municipality, 6280, South Africa",Camdeboo Local Municipality,Asherville,6280
1473,Openserve Property,-25.95,29.81,"Rietkuil NG Kerk, 15th Avenue, Steve Tshwete Ward 7, Steve Tshwete Local Municipality, South Africa",Steve Tshwete Local Municipality,Steve Tshwete Ward 7,N/A
85,Openserve Property,-33.87,25.55,"18734 Mbethe Street, Bethelsdorp, South Africa",Bethelsdorp,N/A,
1285,Openserve Property,-33.33,24.35,"Bosman Street, Steytlerville, South Africa",Steytlerville,N/A,
3367,Openserve Property,-23,30.01,"Makhado Ward 31, Makhado Local Municipality, Vhembe District Municipality, South Africa",Makhado Local Municipality,Makhado Ward 31,N/A
298,Openserve Property,-27.92,30.65,"Kandaspunt, South Africa",Kandaspunt,N/A,
5849,Openserve Property,-33.22,27.13,"N2, Ngqushwa Ward 7, Ngqushwa Local Municipality, 5640, South Africa",Ngqushwa Local Municipality,Ngqushwa Ward 7,5640
16264,Openserve Property,-33.83,24.87,"21 Null, Hankey, South Africa",Hankey,N/A,
18062,Openserve Property,-26.2,25.47,"Bathobatho, South Africa",Bathobatho,N/A,
