Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
2239,Openserve Property,-34.07,19.12,"Theewaterskloof Nu, South Africa",Theewaterskloof Nu,N/A,
1146,Openserve Property,-29.03,19.15,"unnamed road, Khâi-Ma Ward 3, Khâi-Ma Local Municipality, South Africa",Khâi-Ma Local Municipality,Khâi-Ma Ward 3,N/A
5129,Openserve Property,-30.42,26.84,"Albertijn Street, Mohokare Ward 2, Mohokare Local Municipality, 9958, South Africa",Mohokare Local Municipality,Mohokare Ward 2,9958
728,Openserve Property,-34.05,19.61,"Cross Market Street, Heuwelkroon, Theewaterskloof Local Municipality, 7233, South Africa",Theewaterskloof Local Municipality,Heuwelkroon,7233
607,Openserve Property,-27.95,27.56,"Steynsrus, South Africa",Steynsrus,N/A,
250,Openserve Property,-30.95,30.28,"unnamed road, Hibiscus Coast Ward 1, Hibiscus Coast Local Municipality, South Africa",Hibiscus Coast Local Municipality,Hibiscus Coast Ward 1,N/A
1865,Openserve Property,-28.28,31.44,"1513 Mlilowothathe Street, Ulundi, South Africa",Ulundi,N/A,
3221,Openserve Property,-24.84,29.81,"unnamed road, Makhuduthamaga Ward 8, Makhuduthamaga Local Municipality, 1085, South Africa",Makhuduthamaga Local Municipality,Makhuduthamaga Ward 8,1085
8664,Openserve Property,-33.5,19.83,"Breede Valley Nu, South Africa",Breede Valley Nu,N/A,
783,Openserve Property,-33.83,18.83,"unnamed road, Stellenbosch Ward 19, Stellenbosch Local Municipality, 7607, South Africa",Stellenbosch Local Municipality,Stellenbosch Ward 19,7607
353,Openserve Property,-29.35,30.52,"P550, uMshwathi Ward 1, uMshwathi Local Municipality, 3230, South Africa",uMshwathi Local Municipality,uMshwathi Ward 1,3230
421,Openserve Property,-28.75,30.45,"unnamed road, Msinga Ward 14, Msinga Local Municipality, 3010, South Africa",Msinga Local Municipality,Msinga Ward 14,3010
79028,Openserve Property,-23.31,30.69,"Main, Greater Giyani Ward 11, Greater Giyani Local Municipality, 0826, South Africa",Greater Giyani Local Municipality,Greater Giyani Ward 11,0826
1755,Openserve Property,-23.01,28.57,"unnamed road, Blouberg Local Municipality, Tolwe, South Africa",Tolwe,Blouberg Local Municipality,N/A
273,Openserve Property,-28.44,30.42,"Msinga Nu, South Africa",Msinga Nu,N/A,
295,Openserve Property,-30.79,30.13,"unnamed road, Ezinqoleni Ward 6, Ezinqoleni Local Municipality, South Africa",Ezinqoleni Local Municipality,Ezinqoleni Ward 6,N/A
541,Openserve Property,-30.71,27.22,"Cloete Street, Lady Grey, South Africa",Lady Grey,N/A,
173,Openserve Property,-32.91,28.02,"unnamed road, Buffalo City Ward 27, Eastern Cape, 5257, South Africa",N/A,Buffalo City Ward 27,5257
1891,Openserve Property,-28.13,26.91,"Street, Meloding, South Africa",Meloding,N/A,
1843,Openserve Property,-33.35,18.87,"Riebeek West, South Africa",Riebeek West,N/A,
547,Openserve Property,-29.16,25.99,"Mangaung Nu, South Africa",Mangaung Nu,N/A,
769,Openserve Property,-34.06,18.76,"Felix Street, Cape Town Ward 109, Western Cape, 7134, South Africa",N/A,Cape Town Ward 109,7134
2244,Openserve Property,-33.67,18.92,"unnamed road, Drakenstein Ward 3, Paarl, 7630, South Africa",Paarl,Drakenstein Ward 3,7630
11188,Openserve Property,-31.57,28.66,"King Sabata Dalindyebo Nu, South Africa",King Sabata Dalindyebo Nu,N/A,
2390,Openserve Property,-33.98,23.81,"unnamed road, Kou-Kamma Ward 2, Kou-Kamma Local Municipality, South Africa",Kou-Kamma Local Municipality,Kou-Kamma Ward 2,N/A
4003,Openserve Property,-26.04,31.02,"53 Unknown Street, Ekulindeni, South Africa",Ekulindeni,N/A,
434,Openserve Property,-29.43,30.58,"High Street, uMshwathi Ward 7, uMshwathi Local Municipality, South Africa",uMshwathi Local Municipality,uMshwathi Ward 7,N/A
707,Openserve Property,-31.82,18.24,"Baker Street, Matzikama Ward 2, Matzikama Local Municipality, 8151, South Africa",Matzikama Local Municipality,Matzikama Ward 2,8151
3437,Openserve Property,-32.57,27.45,"2592 Null, Stutterheim, South Africa",Stutterheim,N/A,
2228,Openserve Property,-34.12,18.91,"679 Mandela, Somerset West, South Africa",Somerset West,N/A,
95,Openserve Property,-34.12,22.11,"Onzerust Avenue, Mossel Bay Ward 10, George, 6506, South Africa",George,Mossel Bay Ward 10,6506
303,Openserve Property,-28.97,30.87,"Kranskop, South Africa",Kranskop,N/A,
1556,Openserve Property,-25.85,29.25,"Street, Emalahleni, South Africa",Emalahleni,N/A,
15368,Openserve Property,-28.77,17.62,"287 Keerom Street, Vioolsdrift, South Africa",Vioolsdrift,N/A,
4141,Openserve Property,-33.73,26.57,"unnamed road, Ndlambe Ward 2, Ndlambe Local Municipality, South Africa",Ndlambe Local Municipality,Ndlambe Ward 2,N/A
29760,Openserve Property,-28.5,20.14,"Street, Kai !Garib Nu, South Africa",Kai !Garib Nu,N/A,
67,Openserve Property,-33.69,25.81,"unnamed road, Nelson Mandela Bay Ward 53, Colchester, South Africa",Colchester,Nelson Mandela Bay Ward 53,N/A
394,Openserve Property,-29.3,29.98,"R103, Mpofana Ward 2, Mpofana Local Municipality, South Africa",Mpofana Local Municipality,Mpofana Ward 2,N/A
64,Openserve Property,-32.82,28.11,"unnamed road, Cintsa East, Great Kei Local Municipality, 5275, South Africa",Great Kei Local Municipality,Cintsa East,5275
9757,Openserve Property,-32.32,28.2,"unnamed road, Mnquma Ward 4, Mnquma Local Municipality, 5240, South Africa",Mnquma Local Municipality,Mnquma Ward 4,5240
10595,Openserve Property,-28.72,24.78,"Kenilworth Road, Moghul Park, Sol Plaatje Local Municipality, 8301, South Africa",Sol Plaatje Local Municipality,Moghul Park,8301
569,Openserve Property,-28.3,27.95,"415 Voortrekker Street, Paul Roux, South Africa",Paul Roux,N/A,
2173,Openserve Property,-32.7,18.23,"Dwarskersbos, South Africa",Dwarskersbos,N/A,
828,Openserve Property,-33.18,19,"Wittewater Street, Saron, South Africa",Saron,N/A,
86,Openserve Property,-34.05,21.28,"Hessequa Ward 6, George, Western Cape, South Africa",George,Hessequa Ward 6,N/A
404,Openserve Property,-29.21,30.6,"Street, Umvoti Nu, South Africa",Umvoti Nu,N/A,
12586,Openserve Property,-25.86,28.33,"2018 Duiker, Rietfontein, South Africa",Rietfontein,N/A,
43585,Openserve Property,-29.78,31,"20 Imvubupark Close, Newlands East, South Africa",Newlands East,N/A,
1934,Openserve Property,-29.57,30.19,"3109 Zothi Road, Mpophomeni, South Africa",Mpophomeni,N/A,
715,Openserve Property,-34.03,18.75,"Old Main Road, Cape Town Ward 109, Western Cape, 7131, South Africa",N/A,Cape Town Ward 109,7131
1775,Openserve Property,-27.35,30.14,"Street, Wakkestroom, South Africa",Wakkestroom,N/A,
12368,Openserve Property,-30.03,30.88,"Moss Kolnik Drive, Zulwini Gardens, KwaMakhutha, 4125, South Africa",KwaMakhutha,Zulwini Gardens,4125
855,Openserve Property,-33.34,20.04,"2nd Street, Breede Valley Local Municipality, 6880, South Africa",Breede Valley Local Municipality,N/A,6880
6106,Openserve Property,-27.21,24.1,"Greater Taung Nu, South Africa",Greater Taung Nu,N/A,
11680,Openserve Property,-22.02,30,No result found,No result found,No result found,No result found
13437,Openserve Property,-33.08,25.85,"Street, Blue Crane Route Nu, South Africa",Blue Crane Route Nu,N/A,
621,Openserve Property,-29.99,27.01,"unnamed road, Naledi Ward 3, Naledi Local Municipality, South Africa",Naledi Local Municipality,Naledi Ward 3,N/A
57,Openserve Property,-34.06,23.02,"348 Dolphine Street, Knysna, South Africa",Knysna,N/A,
2184,Openserve Property,-34.04,19.56,"751 Volks Road, Genadendal, South Africa",Genadendal,N/A,
1890,Openserve Property,-27.39,26.65,"426 Lediga Street, Kgotsong, South Africa",Kgotsong,N/A,
4179,Openserve Property,-28.47,30.16,"Ekuvukeni, South Africa",Ekuvukeni,N/A,
1645,Openserve Property,-25.72,27.3,"Street, Waterkloof, South Africa",Waterkloof,N/A,
1565,Openserve Property,-23,31,"Thulamela Ward 40, Thulamela Local Municipality, Vhembe District Municipality, South Africa",Thulamela Local Municipality,Thulamela Ward 40,N/A
3349,Openserve Property,-26.51,27.87,"Lakeside, South Africa",Lakeside,N/A,
16,Openserve Property,-28.13,25.5,"79 Pretorius Street, Hertzogville, South Africa",Hertzogville,N/A,
2192,Openserve Property,-34.43,21.34,"Strand Street, Hessequa Ward 3, George, 6675, South Africa",George,Hessequa Ward 3,6675
2208,Openserve Property,-34.32,20.58,"Swellendam Nu, South Africa",Swellendam Nu,N/A,
27681,Openserve Property,-29.04,24.59,"261 Suiderkruis Street, Ritchie, South Africa",Ritchie,N/A,
1851,Openserve Property,-30.37,30.7,"21 Gamark, Scottburgh, South Africa",Scottburgh,N/A,
588,Openserve Property,-29.1,26.34,"Mangaung Nu, South Africa",Mangaung Nu,N/A,
791,Openserve Property,-31.38,19.11,"Nassua Street, Proteaville, Hantam Local Municipality, South Africa",Hantam Local Municipality,Proteaville,N/A
1575,Openserve Property,-26.5,28.06,"Meyerton, South Africa",Meyerton,N/A,
548,Openserve Property,-27.88,27.92,"3 George Lyon Street, Lindley, South Africa",Lindley,N/A,
4735,Openserve Property,-29.17,31.41,"Tugela, South Africa",Tugela,N/A,
2947,Openserve Property,-28.63,21.08,"Null, Bloemsmond, South Africa",Bloemsmond,N/A,
97,Openserve Property,-33.85,22.45,"George Nu, South Africa",George Nu,N/A,
6276,Openserve Property,-22.33,30.04,"22 Joubert Street, Musina, South Africa",Musina,N/A,
175,Openserve Property,-33.96,23.47,"N2, Bitou Ward 1, George, 6602, South Africa",George,Bitou Ward 1,6602
26,Openserve Property,-27.67,24.77,"N18, Phokwane Ward 4, Phokwane Local Municipality, South Africa",Phokwane Local Municipality,Phokwane Ward 4,N/A
1201,Openserve Property,-33.32,26.09,"1479 Null Street, Alicedale, South Africa",Alicedale,N/A,
1830,Openserve Property,-29.7,30.68,"Panekeni, South Africa",Panekeni,N/A,
17270,Openserve Property,-28.26,22.08,"unnamed road, Tsantsabane Ward 6, Tsantsabane Local Municipality, South Africa",Tsantsabane Local Municipality,Tsantsabane Ward 6,N/A
754,Openserve Property,-33.02,19.31,"14 Unknown Street, Op-die-berg, South Africa",Op-die-berg,N/A,
344,Openserve Property,-28.97,30.4,"R74, Muden, Umvoti Local Municipality, South Africa",Umvoti Local Municipality,Muden,N/A
648,Openserve Property,-33.56,18.5,"3 Calton Street, Atlantis, South Africa",Atlantis,N/A,
31,Openserve Property,-29.33,22.84,"unnamed road, Siyathemba Ward 4, Siyathemba Local Municipality, South Africa",Siyathemba Local Municipality,Siyathemba Ward 4,N/A
39141,Openserve Property,-28.09,20.01,"Null Street, Kai !Garib Nu, South Africa",Kai !Garib Nu,N/A,
711,Openserve Property,-32.69,18.88,"Stasie Way, Eendekuil, South Africa",Eendekuil,N/A,
100,Openserve Property,-33.97,22.62,"552 Duiwerivier Way, Wilderness, South Africa",Wilderness,N/A,
125,Openserve Property,-33.87,25.03,"Loerieheuwel, South Africa",Loerieheuwel,N/A,
9,Openserve Property,-27.6,22.88,"unnamed road, Gamagara Ward 2, Gamagara Local Municipality, South Africa",Gamagara Local Municipality,Gamagara Ward 2,N/A
3014,Openserve Property,-28.75,24.78,"5 Atlas Street, Kimberley, South Africa",Kimberley,N/A,
1193,Openserve Property,-31.34,20.92,"4 Kerk Street, Williston, South Africa",Williston,N/A,
589,Openserve Property,-28.5,27.94,"unnamed road, Rosendal, Dihlabeng Local Municipality, South Africa",Dihlabeng Local Municipality,Rosendal,N/A
165,Openserve Property,-32.87,28.09,"unnamed road, Great Kei Ward 1, Great Kei Local Municipality, South Africa",Great Kei Local Municipality,Great Kei Ward 1,N/A
838,Openserve Property,-32.76,18.03,"8 Vanguard Street, St Helena Bay, South Africa",St Helena Bay,N/A,
724,Openserve Property,-34.16,18.87,"Berg Street, Gordon's Bay, Western Cape, 7151, South Africa",N/A,Gordon's Bay,7151
465,Openserve Property,-30.5,25.97,"42 Collins Street, Bethulie, South Africa",Bethulie,N/A,
1718,Openserve Property,-24.78,27.75,"Street, Rooiberg, South Africa",Rooiberg,N/A,
14590,Openserve Property,-32.82,26.99,"R T Bokwe Street, Middledrift, South Africa",Middledrift,N/A,
159,Openserve Property,-33.86,25.31,"Street, Nelson Mandela Bay Nu, South Africa",Nelson Mandela Bay Nu,N/A,
1591,Openserve Property,-25.93,29.24,"42 Sekelbos Street, Emalahleni, South Africa",Emalahleni,N/A,
34,Openserve Property,-28.71,24.71,"Grootboom Street, Sol Plaatje Ward 9, Sol Plaatje Local Municipality, 8330, South Africa",Sol Plaatje Local Municipality,Sol Plaatje Ward 9,8330
1828,Openserve Property,-29.04,30.8,"Street, Umvoti Nu, South Africa",Umvoti Nu,N/A,
104,Openserve Property,-34.05,24.91,"61 Koraal Street, Jeffrey's Bay, South Africa",Jeffrey's Bay,N/A,
3992,Openserve Property,-23.91,29.44,"Piccadilly Polokwane, 65 Nelson Mandela Drive, Ivy Park, Polokwane, 0699, South Africa",Polokwane,Ivy Park,0699
5090,Openserve Property,-29.13,24.77,"Bouw Street, Letsemeng Ward 3, Letsemeng Local Municipality, South Africa",Letsemeng Local Municipality,Letsemeng Ward 3,N/A
60,Openserve Property,-34.08,22.97,"Buffalo Bay Trail, Knysna Ward 5, George, South Africa",George,Knysna Ward 5,N/A
185,Openserve Property,-34.03,24.92,"6 Null Avenue, Jeffrey's Bay, South Africa",Jeffrey's Bay,N/A,
227,Openserve Property,-29.85,30.8,"unnamed road, eThekwini Ward 14, KwaZulu-Natal, 3608, South Africa",N/A,eThekwini Ward 14,3608
283,Openserve Property,-30.46,30.65,"Bullock Road, Ifafa Beach, uMdoni Local Municipality, 4186, South Africa",uMdoni Local Municipality,Ifafa Beach,4186
122,Openserve Property,-33.81,23.73,"unnamed road, Kou-Kamma Ward 2, Kou-Kamma Local Municipality, South Africa",Kou-Kamma Local Municipality,Kou-Kamma Ward 2,N/A
6120,Openserve Property,-26.82,25.1,"Street, Naledi Nu, South Africa",Naledi Nu,N/A,
1055,Openserve Property,-27.25,25.05,"unnamed road, Amalia, Mamusa Local Municipality, South Africa",Mamusa Local Municipality,Amalia,N/A
5983,Openserve Property,-31.72,28.69,"Null, Ngqwala A, South Africa",Ngqwala A,N/A,
2231,Openserve Property,-28.88,19.92,"N14, Kai !Garib Ward 9, Kai !Garib Local Municipality, South Africa",Kai !Garib Local Municipality,Kai !Garib Ward 9,N/A
45020,Openserve Property,-29.76,30.79,"Inanda Road, eThekwini Ward 8, Hillcrest, 3652, South Africa",Hillcrest,eThekwini Ward 8,3652
1378,Openserve Property,-25.88,27.62,"Mogale City Nu, South Africa",Mogale City Nu,N/A,
1254,Openserve Property,-33.8,23.66,"Louterwater, South Africa",Louterwater,N/A,
422,Openserve Property,-28.34,31.41,"Street, Mkhazane, South Africa",Mkhazane,N/A,
2054,Openserve Property,-34.2,22.04,"P. Nerifolia Street, Mossel Bay Ward 11, George, 6510, South Africa",George,Mossel Bay Ward 11,6510
2126,Openserve Property,-34.04,20.54,"Swellendam Nu, South Africa",Swellendam Nu,N/A,
517,Openserve Property,-27.45,27.42,"Ngwathe Nu, South Africa",Ngwathe Nu,N/A,
3065,Openserve Property,-29.81,29.77,"06 Street, Bulwer, South Africa",Bulwer,N/A,
3596,Openserve Property,-24.6,29.08,"Prinloo str, Mookgophong Ward 3, Mookgopong Local Municipality, 0580, South Africa",Mookgopong Local Municipality,Mookgophong Ward 3,0580
1684,Openserve Property,-23.59,30.1,"Greater Letaba Nu, South Africa",Greater Letaba Nu,N/A,
850,Openserve Property,-34,20.65,"Oorkant River Way, Suurbraak, South Africa",Suurbraak,N/A,
2219,Openserve Property,-34.34,18.83,"572 Anne Road, Pringle Bay, South Africa",Pringle Bay,N/A,
15862,Openserve Property,-27.91,25.17,"Street, Christiana, South Africa",Christiana,N/A,
610,Openserve Property,-28.21,28.33,"3157 Mkhumbeni Street, Thorisong, South Africa",Thorisong,N/A,
4119,Openserve Property,-33.91,25.61,"Stanbridge Street, Nelson Mandela Bay Ward 60, Gqeberha / Port Elizabeth, 6012, South Africa",Gqeberha / Port Elizabeth,Nelson Mandela Bay Ward 60,6012
812,Openserve Property,-33.92,18.64,"33 Oop Street, Bellville, South Africa",Bellville,N/A,
16783,Openserve Property,-34.05,22.39,"4 Skuinsbank Street, Herolds Bay, South Africa",Herolds Bay,N/A,
53635,Openserve Property,-27.37,30.53,"Edumbe Nu, South Africa",Edumbe Nu,N/A,
1235,Openserve Property,-32.58,26.94,"Street, Nkonkobe Nu, South Africa",Nkonkobe Nu,N/A,
13862,Openserve Property,-29.17,26.47,"Mangaung Ward 17, Mangaung Metropolitan Municipality, South Africa",N/A,Mangaung Ward 17,N/A
7569,Openserve Property,-31.89,23.07,"N1;N12, Ubuntu Ward 3, Ubuntu Local Municipality, South Africa",Ubuntu Local Municipality,Ubuntu Ward 3,N/A
2206,Openserve Property,-33.95,19.83,"40 Kerk Street, Mcgregor, South Africa",Mcgregor,N/A,
2313,Openserve Property,-32.98,21.69,"N1, Prince Albert Ward 1, Prince Albert Local Municipality, South Africa",Prince Albert Local Municipality,Prince Albert Ward 1,N/A
5738,Openserve Property,-25.12,28.99,"unnamed road, Kameelrivier, Dr JS Moroka Local Municipality, South Africa",Dr JS Moroka Local Municipality,Kameelrivier,N/A
4012,Openserve Property,-25.68,30,"2795 Unknown Street, Siyathuthuka, South Africa",Siyathuthuka,N/A,
9752,Openserve Property,-28.69,25.78,"Tokologo Nu, South Africa",Tokologo Nu,N/A,
1962,Openserve Property,-32.01,26.26,"1 Null, Tarkastad, South Africa",Tarkastad,N/A,
14618,Openserve Property,-26.54,28.05,"15 Sunbury Chase Road, Meyerton, South Africa",Meyerton,N/A,
9701,Openserve Property,-27.39,24.72,"Street, Greater Taung Nu, South Africa",Greater Taung Nu,N/A,
19785,Openserve Property,-25.44,30.97,"7 Government Street, Mbombela, South Africa",Mbombela,N/A,
760,Openserve Property,-32.14,18.31,"R365, Cederberg Ward 5, Cederberg Local Municipality, South Africa",Cederberg Local Municipality,Cederberg Ward 5,N/A
1194,Openserve Property,-28.33,24.71,"R374, Corn's Village, Dikgatlong Local Municipality, South Africa",Dikgatlong Local Municipality,Corn's Village,N/A
1643,Openserve Property,-26.26,29.27,"24 Flamingo Avenue, Ga-nala, South Africa",Ga-nala,N/A,
11575,Openserve Property,-25.17,27.17,"Moruleng, South Africa",Moruleng,N/A,
1069,Openserve Property,-30.47,20.49,"583 Dyers Street, Brandvlei, South Africa",Brandvlei,N/A,
40955,Openserve Property,-25.07,31.05,"Mbombela Nu, South Africa",Mbombela Nu,N/A,
1158,Openserve Property,-27.56,24.18,"12 Griesel Street, Boipelo, South Africa",Boipelo,N/A,
137,Openserve Property,-33.82,25.59,"Mgwalana Street, Nelson Mandela Bay Ward 59, Motherwell, 6211, South Africa",Motherwell,Nelson Mandela Bay Ward 59,6211
3202,Openserve Property,-24.58,30.32,"322 Unknown Street, Prakteseer, South Africa",Prakteseer,N/A,
3632,Openserve Property,-24.75,30.1,"Greater Tubatse Ward 6, Greater Tubatse Local Municipality, Sekhukhune District Municipality, South Africa",Greater Tubatse Local Municipality,Greater Tubatse Ward 6,N/A
5498,Openserve Property,-33.97,18.93,"unnamed road, Stellenbosch Ward 5, Stellenbosch Local Municipality, 7601, South Africa",Stellenbosch Local Municipality,Stellenbosch Ward 5,7601
3047,Openserve Property,-23.95,29.79,"unnamed road, Polokwane Ward 4, Polokwane Local Municipality, South Africa",Polokwane Local Municipality,Polokwane Ward 4,N/A
5101,Openserve Property,-29.94,23.68,"Parks Street, Strydenburg, South Africa",Strydenburg,N/A,
4448,Openserve Property,-25.08,31.08,"unnamed road, Mbombela Ward 3, Mbombela, 1241, South Africa",Mbombela,Mbombela Ward 3,1241
3943,Openserve Property,-24.87,29.75,"Phokoane, South Africa",Phokoane,N/A,
1316,Openserve Property,-25.05,29.51,"Tafelkop, South Africa",Tafelkop,N/A,
42180,Openserve Property,-25.28,25.71,"N4, Ramotshere Moiloa Ward 6, Ramotshere Moiloa Local Municipality, South Africa",Ramotshere Moiloa Local Municipality,Ramotshere Moiloa Ward 6,N/A
128,Openserve Property,-33.92,25.54,"unnamed road, Nelson Mandela Bay Ward 12, Gqeberha / Port Elizabeth, 6020, South Africa",Gqeberha / Port Elizabeth,Nelson Mandela Bay Ward 12,6020
1787,Openserve Property,-26.84,27.86,"Zamdela, South Africa",Zamdela,N/A,
1854,Openserve Property,-27.75,29.98,"23 Stephenson Street, Newcastle, South Africa",Newcastle,N/A,
1562,Openserve Property,-26.57,27.12,"unnamed road, Tlokwe Ward 3, Tlokwe Local Municipality, South Africa",Tlokwe Local Municipality,Tlokwe Ward 3,N/A
2213,Openserve Property,-33.49,19.62,"Breede Valley Nu, South Africa",Breede Valley Nu,N/A,
5134,Openserve Property,-29.65,26.06,"Kopanong Ward 1, Kopanong Local Municipality, 5900, South Africa",Kopanong Local Municipality,Kopanong Ward 1,5900
220,Openserve Property,-27.68,31.06,"unnamed road, Coronation, Abaqulusi Local Municipality, South Africa",Abaqulusi Local Municipality,Coronation,N/A
121,Openserve Property,-33.41,25.34,"Sundays River Valley Nu, South Africa",Sundays River Valley Nu,N/A,
1820,Openserve Property,-28.83,31.89,"33 Church Avenue, Empangeni, South Africa",Empangeni,N/A,
247,Openserve Property,-28.39,29.98,"Emnambithi/Ladysmith Ward 24, Emnambithi/Ladysmith Local Municipality, Uthukela District Municipality, South Africa",Emnambithi/Ladysmith Local Municipality,Emnambithi/Ladysmith Ward 24,N/A
3454,Openserve Property,-25.1,29.46,"822 Unknown Street, Motetema, South Africa",Motetema,N/A,
4833,Openserve Property,-28.74,25.82,"R64, Tokologo Ward 1, Tokologo Local Municipality, South Africa",Tokologo Local Municipality,Tokologo Ward 1,N/A
9608,Openserve Property,-29.72,31.06,"Umhlanga, South Africa",Umhlanga,N/A,
632,Openserve Property,-27.01,27.36,"12 De Wet Street, Vredefort, South Africa",Vredefort,N/A,
13797,Openserve Property,-29.54,31.2,"455 Unknown Street, Ballito, South Africa",Ballito,N/A,
3583,Openserve Property,-33.95,22.95,"Knysna Nu, South Africa",Knysna Nu,N/A,
1114,Openserve Property,-28.01,20,"Kai !Garib Ward 7, Kai !Garib Local Municipality, ZF Mgcawu District Municipality, South Africa",Kai !Garib Local Municipality,Kai !Garib Ward 7,N/A
3857,Openserve Property,-24.69,29.75,"unnamed road, Makadikwe, Makhuduthamaga Local Municipality, South Africa",Makhuduthamaga Local Municipality,Makadikwe,N/A
1200,Openserve Property,-33.65,26.41,"Chowles Street, Ndlambe Ward 2, Ndlambe Local Municipality, South Africa",Ndlambe Local Municipality,Ndlambe Ward 2,N/A
747,Openserve Property,-29.68,17.07,"3rd Avenue, Nama Khoi Ward 8, Nama Khoi Local Municipality, 8282, South Africa",Nama Khoi Local Municipality,Nama Khoi Ward 8,8282
29208,Openserve Property,-33.99,22.53,"Street, George Nu, South Africa",George Nu,N/A,
5096,Openserve Property,-31.06,24.44,"unnamed road, Emthanjeni Ward 6, Emthanjeni Local Municipality, South Africa",Emthanjeni Local Municipality,Emthanjeni Ward 6,N/A
28530,Openserve Property,-28.2,23.39,"Tsantsabane Ward 3, Tsantsabane Local Municipality, ZF Mgcawu District Municipality, South Africa",Tsantsabane Local Municipality,Tsantsabane Ward 3,N/A
784,Openserve Property,-29.59,17.79,"Street, Nababeep, South Africa",Nababeep,N/A,
3294,Openserve Property,-33,27.6,"Street, Lovedale Sp, South Africa",Lovedale Sp,N/A,
20305,Openserve Property,-34.04,23.11,"Damsebos, Knysna, South Africa",Knysna,N/A,
17605,Openserve Property,-31.15,21.6,"Karoo Hoogland Nu, South Africa",Karoo Hoogland Nu,N/A,
4752,Openserve Property,-23.47,29.82,"Ramokgopa, South Africa",Ramokgopa,N/A,
5765,Openserve Property,-25.28,29.2,"Street, Elandsdoring, South Africa",Elandsdoring,N/A,
7659,Openserve Property,-24.41,29.75,"unnamed road, Apel, Fetakgomo Local Municipality, 0740, South Africa",Fetakgomo Local Municipality,Apel,0740
2889,Openserve Property,-34.18,19.07,"N2, Theewaterskloof Ward 7, Theewaterskloof Local Municipality, 7160, South Africa",Theewaterskloof Local Municipality,Theewaterskloof Ward 7,7160
17461,Openserve Property,-31.11,26.1,"Gariep Nu, South Africa",Gariep Nu,N/A,
24512,Openserve Property,-28.55,21.15,"30 Druiwe Street, Klippunt, South Africa",Klippunt,N/A,
10975,Openserve Property,-27.23,26.67,"Nala Nu, South Africa",Nala Nu,N/A,
186,Openserve Property,-29.05,31.53,"unnamed road, uMlalazi Ward 18, uMlalazi Local Municipality, South Africa",uMlalazi Local Municipality,uMlalazi Ward 18,N/A
4943,Openserve Property,-25.82,28.34,"12 Sea Cottage Crescent, Pretoria, South Africa",Pretoria,N/A,
1776,Openserve Property,-25.56,28.31,"unnamed road, Tshwane Ward 73, Gauteng, South Africa",N/A,Tshwane Ward 73,N/A
65,Openserve Property,-34,25.36,"Nelson Mandela Bay Nu, South Africa",Nelson Mandela Bay Nu,N/A,
98,Openserve Property,-34.05,22.39,"4 Skuinsbank Street, Herolds Bay, South Africa",Herolds Bay,N/A,
30072,Openserve Property,-33.26,18.6,"unnamed road, Oupos, Swartland Local Municipality, South Africa",Swartland Local Municipality,Oupos,N/A
6372,Openserve Property,-28.54,28.88,"Makwane, South Africa",Makwane,N/A,
3510,Openserve Property,-28.47,19.87,"unnamed road, Kai !Garib Ward 9, Kai !Garib Local Municipality, South Africa",Kai !Garib Local Municipality,Kai !Garib Ward 9,N/A
5109,Openserve Property,-26.18,25.99,"Street, Ditsobotla Nu, South Africa",Ditsobotla Nu,N/A,
17343,Openserve Property,-28.62,19.51,"Khâi-ma Nu, South Africa",Khâi-ma Nu,N/A,
152141,Openserve Property,-26.24,28.15,"Germiston, South Africa",Germiston,N/A,
1857,Openserve Property,-29.45,31.08,"KwaDukuza Ward 21, KwaDukuza Local Municipality, 4420, South Africa",KwaDukuza Local Municipality,KwaDukuza Ward 21,4420
436,Openserve Property,-27.99,31.08,"P219, Abaqulusi Ward 4, Abaqulusi Local Municipality, South Africa",Abaqulusi Local Municipality,Abaqulusi Ward 4,N/A
4028,Openserve Property,-25.66,31.68,"unnamed road, Sidlamafa, Nkomazi, 1337, South Africa",Nkomazi,Sidlamafa,1337
1620,Openserve Property,-26.53,28.06,"Iffley Road, Henley on Klip, Midvaal Local Municipality, 1960, South Africa",Midvaal Local Municipality,Henley on Klip,1960
11929,Openserve Property,-26.05,28.76,"unnamed road, Victor Khanye Ward 9, Victor Khanye Local Municipality, South Africa",Victor Khanye Local Municipality,Victor Khanye Ward 9,N/A
1738,Openserve Property,-26.62,27.9,"Vereeniging, South Africa",Vereeniging,N/A,
1262,Openserve Property,-31.96,23.76,"Street, Murraysburg, South Africa",Murraysburg,N/A,
31216,Openserve Property,-26.75,27.65,"unnamed road, Emfuleni Ward 25, Emfuleni Local Municipality, South Africa",Emfuleni Local Municipality,N/A,N/A
34133,Openserve Property,-26.51,28.13,"Karee Road, Midvaal Ward 4, Midvaal Local Municipality, South Africa",Midvaal Local Municipality,Midvaal Ward 4,N/A
49667,Openserve Property,-34.05,22.4,"Voelklip Street, Herolds Bay, South Africa",Herolds Bay,N/A,
25,Openserve Property,-28.04,23.1,"Null, Tsantsabane Nu, South Africa",Tsantsabane Nu,N/A,
24,Openserve Property,-28.36,23.47,"unnamed road, Norfin, Kgatelopele Local Municipality, South Africa",Kgatelopele Local Municipality,Norfin,N/A
616,Openserve Property,-26.47,20.61,"Null, Kalahari Gemsbok National Park, South Africa",Kalahari Gemsbok National Park,N/A,
